1.4e+04	166	135	49.6	-84.5	258	-3.17	9.94	-7.09	0.00026	0.000149	81.1	83.1	-238	0.402	0.384	164	158	
1.42e+04	161	130	47.9	-84.3	249	-3.19	5.81	-13.4	0.000217	0.00015	61.5	87.2	-228	0.426	0.415	158	153	
1.44e+04	166	134	49.6	-84.5	245	-3.18	9.79	-7.1	0.000259	0.00015	80.8	83.3	-225	0.402	0.385	164	158	
1.46e+04	160	130	48	-84.3	250	-3.2	5.71	-12.9	0.000218	0.00015	61.4	87.5	-229	0.426	0.414	158	152	
1.48e+04	166	134	49.5	-84.5	253	-3.18	9.53	-7.5	0.00026	0.00015	81.1	82.8	-233	0.403	0.385	163	158	
1.5e+04	161	130	48	-84.3	242	-3.22	5.93	-13.2	0.000219	0.000151	62.6	87	-222	0.425	0.414	158	152	
1.52e+04	166	134	49.4	-84.5	255	-3.19	9.49	-7.57	0.000259	0.000151	81	82.6	-235	0.403	0.386	163	158	
1.54e+04	161	131	48.1	-84.3	248	-3.22	6.04	-13.1	0.000221	0.000151	62.2	87.7	-228	0.425	0.413	158	153	
1.56e+04	165	134	49.4	-84.5	257	-3.2	9.31	-7.86	0.000259	0.000151	80.5	82.9	-237	0.404	0.387	163	157	
1.58e+04	161	130	48.1	-84.3	248	-3.23	5.9	-12.8	0.000222	0.000152	63.1	87.2	-227	0.425	0.413	158	153	
1.6e+04	165	133	49.4	-84.5	246	-3.22	9.43	-8.19	0.000259	0.000152	79.5	83.2	-226	0.404	0.387	163	157	
1.62e+04	160	130	48.1	-84.4	247	-3.23	6.2	-12.9	0.000224	0.000152	63.3	87.4	-227	0.424	0.412	158	153	
1.64e+04	165	133	49.4	-84.5	252	-3.23	9.23	-7.94	0.000259	0.000152	79	83.6	-231	0.405	0.388	162	157	
1.66e+04	160	130	48.2	-84.4	245	-3.25	6.24	-12.9	0.000225	0.000153	63.8	87.4	-224	0.424	0.411	158	153	
1.68e+04	164	133	49.3	-84.5	254	-3.23	9.15	-8.04	0.000259	0.000153	78.8	83.5	-234	0.405	0.388	162	156	
1.7e+04	161	130	48.2	-84.4	246	-3.25	6.24	-12.3	0.000227	0.000153	63.9	87.5	-226	0.423	0.411	158	153	
1.72e+04	164	133	49.3	-84.5	252	-3.24	9.1	-8.69	0.000258	0.000153	78.7	83.3	-232	0.406	0.389	162	156	
1.74e+04	160	130	48.3	-84.4	249	-3.27	6.27	-12.3	0.000228	0.000154	64.1	87.6	-229	0.422	0.41	158	153	
1.76e+04	164	133	49.2	-84.5	252	-3.24	8.79	-8.73	0.000258	0.000154	77.4	84	-231	0.406	0.39	162	156	
1.78e+04	160	130	48.3	-84.4	248	-3.28	6.5	-11.9	0.00023	0.000155	65.2	87	-228	0.422	0.409	158	152	
1.8e+04	164	132	49.1	-84.5	253	-3.25	8.9	-8.39	0.000258	0.000155	76.8	84.3	-233	0.407	0.39	161	156	
1.82e+04	161	130	48.3	-84.4	246	-3.28	6.57	-11.9	0.000232	0.000155	65.8	86.9	-226	0.421	0.409	158	153	
1.84e+04	163	132	49.1	-84.5	248	-3.27	8.73	-8.65	0.000257	0.000155	76.5	84.5	-228	0.407	0.391	161	155	
1.86e+04	161	130	48.3	-84.4	249	-3.29	6.51	-12.1	0.000233	0.000156	65.6	87.2	-229	0.421	0.408	158	153	
1.88e+04	163	132	49.1	-84.4	251	-3.28	8.67	-9.37	0.000257	0.000156	76.1	84.4	-231	0.408	0.392	161	155	
1.9e+04	161	130	48.4	-84.4	252	-3.29	6.68	-11.8	0.000235	0.000156	66.4	86.8	-232	0.42	0.407	158	152	
1.92e+04	163	132	49	-84.4	254	-3.29	8.4	-9.3	0.000257	0.000156	76	83.9	-234	0.408	0.392	161	155	
1.94e+04	160	130	48.4	-84.4	248	-3.3	6.65	-12	0.000237	0.000157	66.7	87	-228	0.419	0.406	158	153	
1.96e+04	163	132	49	-84.4	243	-3.29	8.33	-9.31	0.000257	0.000157	75.9	83.8	-223	0.409	0.393	160	155	
1.98e+04	161	130	48.5	-84.4	252	-3.32	6.65	-11.4	0.000238	0.000157	67.8	86.1	-231	0.419	0.406	158	153	
2e+04	162	131	48.9	-84.4	249	-3.3	8.17	-9.57	0.000256	0.000157	75.5	84	-229	0.409	0.393	160	154	
